cityName,country,lat,lng,temp,humidity,cloudiness,winds
songjianghe,CN,42.1859,127.479,56.73,96,0,2.86
adamstown,PN,-25.066,-130.1015,70.21,86,99,9.46
san vicente de canete,PE,-13.0751,-76.3835,70.2,71,36,10.04
papatowai,NZ,-46.5619,169.4708,40.69,93,56,7.96
rikaze,CN,29.25,88.8833,54.39,49,66,4.74
isafjordur,IS,66.0755,-23.124,53.64,58,75,14.97
west island,CC,-12.1568,96.8225,76.98,73,75,13.8
vernon,CA,50.2581,-119.2691,72.93,46,62,1.14
qaqortoq,GL,60.7167,-46.0333,42.53,92,100,10.89
waitangi,NZ,-43.9535,-176.5597,46.81,60,100,0.16
shimoda,JP,34.6667,138.95,76.1,89,9,4.54
bangassou,CF,4.7413,22.8184,70.14,95,100,2.98
georgetown,MY,5.4112,100.3354,75.88,97,20,0.0
avarua,CK,-21.2078,-159.775,73.45,68,7,13.8
port lincoln,AU,-34.7333,135.8667,50.95,66,72,9.57
invercargill,NZ,-46.4,168.35,38.01,98,21,4.09
vapnyarka,UA,48.5348,28.7436,63.88,82,100,13.96
sur,OM,22.5667,59.5289,85.3,63,0,13.47
longyearbyen,SJ,78.2186,15.6401,44.44,93,100,2.3
saipan,MP,15.1355,145.701,81.3,89,0,4.61
atafu village,TK,-8.5421,-172.5159,82.63,75,10,12.71
east london,ZA,-33.0153,27.9116,64.02,76,100,7.49
puerto natales,CL,-51.7236,-72.4875,40.64,54,26,4.85
margaret river,AU,-33.95,115.0667,58.86,77,100,19.15
kodiak,US,57.79,-152.4072,60.31,63,0,17.27
sultanah,SA,24.4926,39.5857,104.45,12,75,6.91
walvis bay,NA,-22.9575,14.5053,55.09,61,10,21.72
sao felix do xingu,BR,-6.6447,-51.995,102.18,17,0,2.46
sinabang,ID,2.4803,96.3801,77.54,88,100,5.23
badger,US,64.8,-147.5333,50.67,91,100,8.05
blackmans bay,AU,-43.0167,147.3167,41.68,87,100,2.08
port-aux-francais,TF,-49.35,70.2167,35.87,68,90,31.29
vorgashor,RU,67.5833,63.95,47.61,73,9,6.53
mindelo,CV,16.8901,-24.9804,83.75,70,40,17.27
san patricio,US,28.017,-97.5169,94.71,42,4,16.87
plastun,RU,44.7561,136.2939,59.45,94,46,1.77
ilulissat,GL,69.2167,-51.1,42.82,65,75,5.75
tura,IN,25.5198,90.2201,77.11,96,100,1.68
gaspe,CA,48.8334,-64.4819,73.62,73,20,13.8
san andres,CO,12.5847,-81.7006,87.82,74,40,9.22
maumere,ID,-8.6199,122.2111,74.64,78,72,5.35
grytviken,GS,-54.2811,-36.5092,22.59,76,5,8.14
kouroussa,GN,10.65,-9.8833,74.1,94,100,4.94
oum hadjer,TD,13.2954,19.6966,85.39,54,63,10.38
nadi,FJ,-17.8,177.4167,71.6,83,20,2.3
tangalle,LK,6.024,80.7911,76.78,90,100,11.83
dapa,PH,9.7594,126.0531,82.22,80,100,4.63
